Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-11PRG	GTEX-11PRG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11PRG		individual_organism
GTEX-11TT1	GTEX-11TT1		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11TT1		individual_organism
GTEX-11TTK	GTEX-11TTK		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11TTK		individual_organism
GTEX-11TUW	GTEX-11TUW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11TUW		individual_organism
GTEX-11UD1	GTEX-11UD1		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11UD1		individual_organism
GTEX-11UD2	GTEX-11UD2		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11UD2		individual_organism
GTEX-11VI4	GTEX-11VI4		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11VI4		individual_organism
GTEX-11WQC	GTEX-11WQC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11WQC		individual_organism
GTEX-11WQK	GTEX-11WQK		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11WQK		individual_organism
GTEX-11XUK	GTEX-11XUK		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11XUK		individual_organism
GTEX-11ZTS	GTEX-11ZTS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11ZTS		individual_organism
GTEX-11ZTT	GTEX-11ZTT		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11ZTT		individual_organism
GTEX-11ZU8	GTEX-11ZU8		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11ZU8		individual_organism
GTEX-11ZUS	GTEX-11ZUS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11ZUS		individual_organism
GTEX-11ZVC	GTEX-11ZVC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-11ZVC		individual_organism
GTEX-1211K	GTEX-1211K		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1211K		individual_organism
GTEX-12126	GTEX-12126		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12126		individual_organism
GTEX-1212Z	GTEX-1212Z		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1212Z		individual_organism
GTEX-12584	GTEX-12584		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12584		individual_organism
GTEX-12696	GTEX-12696		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12696		individual_organism
GTEX-1269C	GTEX-1269C		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1269C		individual_organism
GTEX-12BJ1	GTEX-12BJ1		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12BJ1		individual_organism
GTEX-12C56	GTEX-12C56		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12C56		individual_organism
GTEX-12KS4	GTEX-12KS4		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12KS4		individual_organism
GTEX-12WS9	GTEX-12WS9		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WS9		individual_organism
GTEX-12WSA	GTEX-12WSA		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSA		individual_organism
GTEX-12WSB	GTEX-12WSB		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSB		individual_organism
