Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-111CU-1826-SM-5GZYN	GTEX-111CU-1826-SM-5GZYN		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-1826-SM-5GZYN		biosample
GTEX-111CU-2026-SM-5GZZC	GTEX-111CU-2026-SM-5GZZC		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-2026-SM-5GZZC		biosample
GTEX-111CU-2226-SM-5N9G5	GTEX-111CU-2226-SM-5N9G5		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111CU-2226-SM-5N9G5		biosample
GTEX-111FC-0126-SM-5N9DL	GTEX-111FC-0126-SM-5N9DL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0126-SM-5N9DL		biosample
GTEX-111FC-0226-SM-5N9B8	GTEX-111FC-0226-SM-5N9B8		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0226-SM-5N9B8		biosample
GTEX-111FC-0326-SM-5GZZ1	GTEX-111FC-0326-SM-5GZZ1		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0326-SM-5GZZ1		biosample
GTEX-111FC-0426-SM-5N9CV	GTEX-111FC-0426-SM-5N9CV		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0426-SM-5N9CV		biosample
GTEX-111FC-0526-SM-5GZZ8	GTEX-111FC-0526-SM-5GZZ8		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0526-SM-5GZZ8		biosample
GTEX-111FC-0626-SM-5N9CU	GTEX-111FC-0626-SM-5N9CU		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0626-SM-5N9CU		biosample
GTEX-111FC-0826-SM-5GZWO	GTEX-111FC-0826-SM-5GZWO		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-0826-SM-5GZWO		biosample
